Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)	Begin File	Delta Freq (Hz)	USV TYPE
34	Spectrogram 1	1	38.742444245	38.760741219	0.018	40213.2	43846.9	42968.8	42968.8	ch1-2018-11-20_10-17-43_0000004.wav	3633.7	FM
35	Spectrogram 1	1	39.211936539	39.686336005	0.474	19417.5	24029.1	21484.4	21484.4	ch1-2018-11-20_10-17-43_0000004.wav	4611.6	22-kHz call
36	Spectrogram 1	1	39.773537736	40.084862386	0.311	19417.5	23786.4	21484.4	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	4368.9	22-kHz call
37	Spectrogram 1	1	43.561038217	44.406511509	0.845	19417.5	24514.6	22460.9	22949.2	ch1-2018-11-20_10-17-43_0000004.wav	5097.1	22-kHz call
38	Spectrogram 1	1	44.515423962	45.162781568	0.647	18932.0	23301.0	20996.1	21484.4	ch1-2018-11-20_10-17-43_0000004.wav	4369.0	22-kHz call
39	Spectrogram 1	1	44.550625860	44.570330294	0.020	49903.1	56443.8	55175.8	55175.8	ch1-2018-11-20_10-17-43_0000004.wav	6540.7	FM
40	Spectrogram 1	1	45.281609295	45.822496566	0.541	18932.0	23301.0	20996.1	20996.1	ch1-2018-11-20_10-17-43_0000004.wav	4369.0	22-kHz call
41	Spectrogram 1	1	45.993604626	46.015168238	0.022	56553.4	63349.5	58593.8	57617.2	ch1-2018-11-20_10-17-43_0000004.wav	6796.1	RP
42	Spectrogram 1	1	46.053803043	46.467105609	0.413	19417.5	23543.7	20996.1	20996.1	ch1-2018-11-20_10-17-43_0000004.wav	4126.2	22-kHz call
43	Spectrogram 1	1	46.696264188	47.116305383	0.420	19417.5	23058.3	21484.4	21484.4	ch1-2018-11-20_10-17-43_0000004.wav	3640.8	22-kHz call
44	Spectrogram 1	1	46.825888179	46.877964182	0.052	37306.2	42877.9	41015.6	41015.6	ch1-2018-11-20_10-17-43_0000004.wav	5571.7	FL
45	Spectrogram 1	1	47.105268897	47.113009924	0.008	73643.4	76792.6	75683.6	75683.6	ch1-2018-11-20_10-17-43_0000004.wav	3149.2	SH
46	Spectrogram 1	1	47.244314573	47.441082533	0.197	20631.1	24029.1	22460.9	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	3398.0	22-kHz call
47	Spectrogram 1	1	47.269237933	47.279090149	0.010	65649.2	67587.2	66894.5	66894.5	ch1-2018-11-20_10-17-43_0000004.wav	1938.0	SH
48	Spectrogram 1	1	47.699445435	47.737181756	0.038	37378.6	44660.2	41992.2	41992.2	ch1-2018-11-20_10-17-43_0000004.wav	7281.6	RP
49	Spectrogram 1	1	48.507129295	48.514766407	0.008	66262.1	69417.5	67871.1	68359.4	ch1-2018-11-20_10-17-43_0000004.wav	3155.4	SH
50	Spectrogram 1	1	48.972347299	48.995258636	0.023	41262.1	44902.9	42968.8	42480.5	ch1-2018-11-20_10-17-43_0000004.wav	3640.8	FL
51	Spectrogram 1	1	50.092850644	50.104530934	0.012	61407.8	65291.3	63476.6	62500.0	ch1-2018-11-20_10-17-43_0000004.wav	3883.5	SH
52	Spectrogram 1	1	56.381476083	56.401242727	0.020	53398.1	58495.1	56640.6	56640.6	ch1-2018-11-20_10-17-43_0000004.wav	5097.0	RP
53	Spectrogram 1	1	56.493337321	56.499626708	0.006	51699.0	55582.5	54199.2	54199.2	ch1-2018-11-20_10-17-43_0000004.wav	3883.5	SH
54	Spectrogram 1	1	56.675280298	56.721102974	0.046	50242.7	62864.1	60546.9	61523.4	ch1-2018-11-20_10-17-43_0000004.wav	12621.4	FM
55	Spectrogram 1	1	56.902466445	56.935261105	0.033	51456.3	59708.7	55175.8	55175.8	ch1-2018-11-20_10-17-43_0000004.wav	8252.4	FM
56	Spectrogram 1	1	57.029152666	57.073178375	0.044	50242.7	66262.1	61523.4	62011.7	ch1-2018-11-20_10-17-43_0000004.wav	16019.4	FM
57	Spectrogram 1	1	57.168866903	57.207950950	0.039	50728.2	57524.3	56640.6	56640.6	ch1-2018-11-20_10-17-43_0000004.wav	6796.1	FM
58	Spectrogram 1	1	57.401724925	57.434968827	0.033	51456.3	62378.6	60058.6	60546.9	ch1-2018-11-20_10-17-43_0000004.wav	10922.3	FM
59	Spectrogram 1	1	57.638475417	57.690362859	0.052	52835.1	61407.8	57617.2	57617.2	ch1-2018-11-20_10-17-43_0000004.wav	8572.7	FM
60	Spectrogram 1	1	57.701446438	58.595437858	0.894	19417.5	25970.9	21972.7	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	6553.4	22-kHz call
61	Spectrogram 1	1	57.883448277	57.917227306	0.034	49176.4	55959.3	53222.7	53222.7	ch1-2018-11-20_10-17-43_0000004.wav	6782.9	FM
62	Spectrogram 1	1	58.759505157	59.517376275	0.758	19417.5	23543.7	21484.4	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	4126.2	22-kHz call
63	Spectrogram 1	1	59.690281302	60.472860726	0.783	19174.8	23301.0	21484.4	21484.4	ch1-2018-11-20_10-17-43_0000004.wav	4126.2	22-kHz call
64	Spectrogram 1	1	60.612879976	61.131754393	0.519	19902.9	23786.4	21484.4	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	3883.5	22-kHz call
65	Spectrogram 1	1	61.228383009	61.583284125	0.355	19902.9	23786.4	21972.7	21484.4	ch1-2018-11-20_10-17-43_0000004.wav	3883.5	22-kHz call
66	Spectrogram 1	1	64.069110100	64.106397179	0.037	50970.9	59708.7	57128.9	57617.2	ch1-2018-11-20_10-17-43_0000004.wav	8737.8	FM
67	Spectrogram 1	1	65.022695674	65.031680512	0.009	64805.8	69174.8	66894.5	67382.8	ch1-2018-11-20_10-17-43_0000004.wav	4369.0	SH
68	Spectrogram 1	1	65.839915523	66.761310700	0.921	19660.2	25728.2	22460.9	22949.2	ch1-2018-11-20_10-17-43_0000004.wav	6068.0	22-kHz call
69	Spectrogram 1	1	66.860968134	67.601318818	0.740	19417.5	23543.7	21484.4	19531.2	ch1-2018-11-20_10-17-43_0000004.wav	4126.2	22-kHz call
70	Spectrogram 1	1	67.735487130	68.390481849	0.655	19660.2	24029.1	21972.7	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	4368.9	22-kHz call
71	Spectrogram 1	1	68.646321166	69.503923991	0.858	19417.5	25000.0	21484.4	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	5582.5	22-kHz call
72	Spectrogram 1	1	69.637201014	70.326338118	0.689	19660.2	23786.4	21484.4	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	4126.2	22-kHz call
73	Spectrogram 1	1	70.436075500	70.881870594	0.446	19902.9	24029.1	21484.4	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	4126.2	22-kHz call
74	Spectrogram 1	1	70.687958061	70.731589307	0.044	33430.2	57655.0	50781.2	51269.5	ch1-2018-11-20_10-17-43_0000004.wav	24224.8	ST
75	Spectrogram 1	1	71.001818187	71.377833673	0.376	20388.3	24757.3	21972.7	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	4369.0	22-kHz call
76	Spectrogram 1	1	71.553886991	71.595666490	0.042	40048.5	44417.5	42480.5	41503.9	ch1-2018-11-20_10-17-43_0000004.wav	4369.0	FM
77	Spectrogram 1	1	71.948321397	71.987405444	0.039	34951.5	42475.7	40527.3	40527.3	ch1-2018-11-20_10-17-43_0000004.wav	7524.2	FM
78	Spectrogram 1	1	72.116934227	72.558089792	0.441	20388.3	24757.3	21972.7	22949.2	ch1-2018-11-20_10-17-43_0000004.wav	4369.0	22-kHz call
79	Spectrogram 1	1	72.246395167	72.287211494	0.041	48449.6	56686.0	52734.4	51757.8	ch1-2018-11-20_10-17-43_0000004.wav	8236.4	FM
80	Spectrogram 1	1	72.582846895	72.592280976	0.009	55339.8	57767.0	56640.6	56640.6	ch1-2018-11-20_10-17-43_0000004.wav	2427.2	SH
81	Spectrogram 1	1	74.903394164	75.871510500	0.968	19417.5	25970.9	21972.7	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	6553.4	22-kHz call
82	Spectrogram 1	1	75.490785259	75.561861966	0.071	54263.6	62257.8	57128.9	56640.6	ch1-2018-11-20_10-17-43_0000004.wav	7994.2	FM
83	Spectrogram 1	1	75.975488486	76.698767977	0.723	19417.5	23543.7	21484.4	21484.4	ch1-2018-11-20_10-17-43_0000004.wav	4126.2	22-kHz call
84	Spectrogram 1	1	76.843374360	77.365842713	0.522	20388.3	24029.1	21972.7	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	3640.8	22-kHz call
85	Spectrogram 1	1	77.718619973	77.765790374	0.047	51699.0	58252.4	56152.3	55664.1	ch1-2018-11-20_10-17-43_0000004.wav	6553.4	FM
86	Spectrogram 1	1	77.883491757	78.596887925	0.713	20145.6	24514.6	21972.7	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	4369.0	22-kHz call
87	Spectrogram 1	1	78.494836196	78.515948089	0.021	39486.4	44573.6	42480.5	42480.5	ch1-2018-11-20_10-17-43_0000004.wav	5087.2	RP
88	Spectrogram 1	1	78.706347932	79.182095125	0.476	19902.9	24029.1	21484.4	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	4126.2	22-kHz call
89	Spectrogram 1	1	79.293734981	79.960409989	0.667	19660.2	24029.1	21484.4	21484.4	ch1-2018-11-20_10-17-43_0000004.wav	4368.9	22-kHz call
90	Spectrogram 1	1	80.077703734	80.579956200	0.502	19902.9	23543.7	21484.4	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	3640.8	22-kHz call
91	Spectrogram 1	1	80.678290666	81.247480178	0.569	19660.2	23786.4	21484.4	21484.4	ch1-2018-11-20_10-17-43_0000004.wav	4126.2	22-kHz call
92	Spectrogram 1	1	80.982201480	81.049759538	0.068	33430.2	60562.0	38574.2	38574.2	ch1-2018-11-20_10-17-43_0000004.wav	27131.8	ST
93	Spectrogram 1	1	81.360558877	81.816988667	0.456	19902.9	23786.4	21484.4	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	3883.5	22-kHz call
94	Spectrogram 1	1	81.524777131	81.562778538	0.038	35852.7	39970.9	37597.7	37597.7	ch1-2018-11-20_10-17-43_0000004.wav	4118.2	FL
95	Spectrogram 1	1	82.136799400	82.210025832	0.073	32281.6	54368.9	34179.7	53222.7	ch1-2018-11-20_10-17-43_0000004.wav	22087.3	ST
96	Spectrogram 1	1	82.828410574	83.218352560	0.390	20388.3	24271.8	21972.7	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	3883.5	22-kHz call
97	Spectrogram 1	1	83.696190941	83.806255211	0.110	36165.0	45876.3	40039.1	40039.1	ch1-2018-11-20_10-17-43_0000004.wav	9711.3	CMP
98	Spectrogram 1	1	83.851179403	83.862410451	0.011	63592.2	66990.3	65918.0	65429.7	ch1-2018-11-20_10-17-43_0000004.wav	3398.1	SH
99	Spectrogram 1	1	85.468245777	86.096285981	0.628	20388.3	26456.3	24414.1	24414.1	ch1-2018-11-20_10-17-43_0000004.wav	6068.0	22-kHz call
100	Spectrogram 1	1	86.047338671	86.089562457	0.042	54021.3	61773.3	58105.5	58105.5	ch1-2018-11-20_10-17-43_0000004.wav	7752.0	FM
101	Spectrogram 1	1	86.197684390	86.736325452	0.539	21116.5	26213.6	22949.2	22949.2	ch1-2018-11-20_10-17-43_0000004.wav	5097.1	22-kHz call
102	Spectrogram 1	1	86.841398547	87.838266366	0.997	20145.6	26699.0	22460.9	22949.2	ch1-2018-11-20_10-17-43_0000004.wav	6553.4	22-kHz call
103	Spectrogram 1	1	88.697640684	88.715610361	0.018	51699.0	63106.8	57128.9	56152.3	ch1-2018-11-20_10-17-43_0000004.wav	11407.8	FM
104	Spectrogram 1	1	89.247112350	89.278110042	0.031	51456.3	63835.0	57617.2	62988.3	ch1-2018-11-20_10-17-43_0000004.wav	12378.7	FM
105	Spectrogram 1	1	89.726951518	89.748515130	0.022	49757.3	58495.1	56640.6	57617.2	ch1-2018-11-20_10-17-43_0000004.wav	8737.8	FM
106	Spectrogram 1	1	89.843754417	89.860376368	0.017	51699.0	58980.6	57617.2	57617.2	ch1-2018-11-20_10-17-43_0000004.wav	7281.6	FM
107	Spectrogram 1	1	90.058941296	90.091735956	0.033	50728.2	61082.5	55664.1	60058.6	ch1-2018-11-20_10-17-43_0000004.wav	10354.3	FM
108	Spectrogram 1	1	90.277967533	90.312109919	0.034	46601.9	56796.1	52734.4	52734.4	ch1-2018-11-20_10-17-43_0000004.wav	10194.2	FM
109	Spectrogram 1	1	90.979904077	91.638941973	0.659	20145.6	26699.0	22460.9	22949.2	ch1-2018-11-20_10-17-43_0000004.wav	6553.4	22-kHz call
110	Spectrogram 1	1	91.128850070	91.178814883	0.050	46996.1	51114.3	49804.7	50293.0	ch1-2018-11-20_10-17-43_0000004.wav	4118.2	FM
111	Spectrogram 1	1	91.439762720	91.488320074	0.049	50387.6	54505.8	52246.1	52246.1	ch1-2018-11-20_10-17-43_0000004.wav	4118.2	FL
112	Spectrogram 1	1	91.718685653	92.167478330	0.449	20873.8	25970.9	22949.2	22949.2	ch1-2018-11-20_10-17-43_0000004.wav	5097.1	22-kHz call
113	Spectrogram 1	1	92.060645681	92.071905357	0.011	51841.1	54990.3	53710.9	54199.2	ch1-2018-11-20_10-17-43_0000004.wav	3149.2	SH
114	Spectrogram 1	1	92.271923121	92.300225362	0.028	48301.0	55582.5	53222.7	52734.4	ch1-2018-11-20_10-17-43_0000004.wav	7281.5	FM
115	Spectrogram 1	1	92.400855552	92.415680535	0.015	48301.0	54611.7	52734.4	53222.7	ch1-2018-11-20_10-17-43_0000004.wav	6310.7	IU
116	Spectrogram 1	1	92.436794905	93.023954094	0.587	20631.1	25970.9	22460.9	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	5339.8	22-kHz call
117	Spectrogram 1	1	93.145028031	93.371895200	0.227	21601.9	26941.7	23437.5	23437.5	ch1-2018-11-20_10-17-43_0000004.wav	5339.8	22-kHz call
118	Spectrogram 1	1	98.507432506	98.516866586	0.009	61893.2	66990.3	64453.1	63964.8	ch1-2018-11-20_10-17-43_0000004.wav	5097.1	SH
119	Spectrogram 1	1	98.675898226	98.681513750	0.006	66237.1	69417.5	67871.1	67871.1	ch1-2018-11-20_10-17-43_0000004.wav	3180.4	SH
120	Spectrogram 1	1	98.803932173	98.812467769	0.009	73969.1	76288.7	75195.3	75195.3	ch1-2018-11-20_10-17-43_0000004.wav	2319.6	SH
121	Spectrogram 1	1	99.370482226	99.376322371	0.006	68446.6	74271.8	71777.3	72265.6	ch1-2018-11-20_10-17-43_0000004.wav	5825.2	SH
122	Spectrogram 1	1	99.504356318	99.510645705	0.006	65291.3	68932.0	66894.5	66894.5	ch1-2018-11-20_10-17-43_0000004.wav	3640.7	SH
123	Spectrogram 1	1	99.540744913	99.554671413	0.014	74757.3	82767.0	80566.4	81054.7	ch1-2018-11-20_10-17-43_0000004.wav	8009.7	RP
124	Spectrogram 1	1	99.680255331	99.761118876	0.081	73543.7	91494.8	76660.2	76660.2	ch1-2018-11-20_10-17-43_0000004.wav	17951.1	ST
125	Spectrogram 1	1	101.065709500	101.096707192	0.031	39563.1	67718.4	61035.2	57617.2	ch1-2018-11-20_10-17-43_0000004.wav	28155.3	ST
126	Spectrogram 1	1	101.229682800	101.239116880	0.009	64320.4	67718.4	66406.2	66406.2	ch1-2018-11-20_10-17-43_0000004.wav	3398.0	SH
127	Spectrogram 1	1	101.603957312	101.649330746	0.045	48301.0	54126.2	52246.1	51757.8	ch1-2018-11-20_10-17-43_0000004.wav	5825.2	FL
128	Spectrogram 1	1	101.984914459	101.992102330	0.007	51941.7	59708.7	56640.6	56640.6	ch1-2018-11-20_10-17-43_0000004.wav	7767.0	SH
129	Spectrogram 1	1	102.090903601	102.113814938	0.023	59466.0	66262.1	62988.3	62011.7	ch1-2018-11-20_10-17-43_0000004.wav	6796.1	FM
130	Spectrogram 1	1	103.138289618	103.173600667	0.035	45145.6	57038.8	52246.1	52246.1	ch1-2018-11-20_10-17-43_0000004.wav	11893.2	IU
131	Spectrogram 1	1	103.448715784	103.483307412	0.035	36650.5	63917.5	39062.5	39550.8	ch1-2018-11-20_10-17-43_0000004.wav	27267.0	ST
132	Spectrogram 1	1	104.778365642	104.811609544	0.033	49757.3	58495.1	56640.6	56640.6	ch1-2018-11-20_10-17-43_0000004.wav	8737.8	FM
133	Spectrogram 1	1	105.483454074	106.800354007	1.317	19174.8	29126.2	21972.7	23925.8	ch1-2018-11-20_10-17-43_0000004.wav	9951.4	22-kHz call
134	Spectrogram 1	1	106.153210008	106.184174118	0.031	55474.8	66618.2	61035.2	64453.1	ch1-2018-11-20_10-17-43_0000004.wav	11143.4	CMP
135	Spectrogram 1	1	106.305919368	106.347439424	0.042	45058.1	74612.4	47363.3	47363.3	ch1-2018-11-20_10-17-43_0000004.wav	29554.3	ST
136	Spectrogram 1	1	106.372773696	106.379107264	0.006	74370.2	76308.1	75683.6	75683.6	ch1-2018-11-20_10-17-43_0000004.wav	1937.9	SH
137	Spectrogram 1	1	106.514223379	106.533927812	0.020	61046.5	66133.7	64941.4	64941.4	ch1-2018-11-20_10-17-43_0000004.wav	5087.2	RP
138	Spectrogram 1	1	106.656376792	106.742935553	0.087	40213.2	72432.2	65918.0	68847.7	ch1-2018-11-20_10-17-43_0000004.wav	32219.0	CMP
139	Spectrogram 1	1	106.916798066	107.678263119	0.761	19174.8	23301.0	21484.4	21484.4	ch1-2018-11-20_10-17-43_0000004.wav	4126.2	22-kHz call
140	Spectrogram 1	1	107.009649135	107.026538650	0.017	70494.2	77519.4	75683.6	76660.2	ch1-2018-11-20_10-17-43_0000004.wav	7025.2	IU
141	Spectrogram 1	1	107.209701696	107.227998670	0.018	60319.8	62500.0	62500.0	62500.0	ch1-2018-11-20_10-17-43_0000004.wav	2180.2	FL
142	Spectrogram 1	1	107.610123934	107.619272421	0.009	73643.4	76308.1	75195.3	75195.3	ch1-2018-11-20_10-17-43_0000004.wav	2664.7	SH
143	Spectrogram 1	1	107.796339473	108.648028597	0.852	19660.2	23786.4	21484.4	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	4126.2	22-kHz call
144	Spectrogram 1	1	107.855117382	107.879747924	0.025	52083.3	58624.0	57128.9	57128.9	ch1-2018-11-20_10-17-43_0000004.wav	6540.7	IU
145	Spectrogram 1	1	108.005011822	108.011345390	0.006	64195.7	67102.7	65429.7	65429.7	ch1-2018-11-20_10-17-43_0000004.wav	2907.0	SH
146	Spectrogram 1	1	108.263984377	108.318875299	0.055	43604.7	68556.2	48339.8	47851.6	ch1-2018-11-20_10-17-43_0000004.wav	24951.5	ST
147	Spectrogram 1	1	108.770344752	109.466669727	0.696	19660.2	23543.7	21484.4	21484.4	ch1-2018-11-20_10-17-43_0000004.wav	3883.5	22-kHz call
148	Spectrogram 1	1	108.839401603	108.874588091	0.035	54505.8	58624.0	56640.6	56640.6	ch1-2018-11-20_10-17-43_0000004.wav	4118.2	FL
149	Spectrogram 1	1	109.586161587	109.631904022	0.046	54263.6	61531.0	56640.6	56640.6	ch1-2018-11-20_10-17-43_0000004.wav	7267.4	FM
150	Spectrogram 1	1	109.589712499	110.141381576	0.552	20388.3	25728.2	22460.9	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	5339.9	22-kHz call
151	Spectrogram 1	1	109.822614789	109.828244628	0.006	66133.7	69282.9	67382.8	67382.8	ch1-2018-11-20_10-17-43_0000004.wav	3149.2	SH
152	Spectrogram 1	1	110.139805273	110.179338562	0.040	41990.3	50242.7	47363.3	47363.3	ch1-2018-11-20_10-17-43_0000004.wav	8252.4	FM
153	Spectrogram 1	1	110.270983914	110.520762421	0.250	20873.8	25728.2	22460.9	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	4854.4	22-kHz call
154	Spectrogram 1	1	111.194649341	111.797531997	0.603	20388.3	25485.4	22460.9	22949.2	ch1-2018-11-20_10-17-43_0000004.wav	5097.1	22-kHz call
155	Spectrogram 1	1	111.906297340	112.178987185	0.273	20873.8	25242.7	22460.9	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	4368.9	22-kHz call
156	Spectrogram 1	1	112.148122227	112.159381903	0.011	64438.0	66618.2	65918.0	65918.0	ch1-2018-11-20_10-17-43_0000004.wav	2180.2	SH
157	Spectrogram 1	1	112.352907589	112.374723212	0.022	63953.5	67829.5	66894.5	67382.8	ch1-2018-11-20_10-17-43_0000004.wav	3876.0	FM
158	Spectrogram 1	1	112.363495349	112.786231996	0.423	20388.3	27427.2	21972.7	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	7038.9	22-kHz call
159	Spectrogram 1	1	112.489431164	112.552063113	0.063	53779.1	62742.2	57617.2	57617.2	ch1-2018-11-20_10-17-43_0000004.wav	8963.1	FM
160	Spectrogram 1	1	112.687179229	112.752626097	0.065	60319.8	70978.7	67871.1	67871.1	ch1-2018-11-20_10-17-43_0000004.wav	10658.9	FM
161	Spectrogram 1	1	112.879102003	113.531401270	0.652	20388.3	25970.9	22460.9	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	5582.6	22-kHz call
162	Spectrogram 1	1	112.917298863	112.925039890	0.008	75339.1	80426.4	76171.9	76171.9	ch1-2018-11-20_10-17-43_0000004.wav	5087.3	SH
163	Spectrogram 1	1	113.044860045	113.063860749	0.019	55959.3	61773.3	58593.8	57617.2	ch1-2018-11-20_10-17-43_0000004.wav	5814.0	RP
164	Spectrogram 1	1	113.352389953	113.400947307	0.049	39970.9	71705.4	63476.6	62988.3	ch1-2018-11-20_10-17-43_0000004.wav	31734.5	CMP
165	Spectrogram 1	1	113.646006758	114.120855467	0.475	20388.3	26213.6	22460.9	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	5825.3	22-kHz call
166	Spectrogram 1	1	114.192684660	114.204814191	0.012	67982.5	70906.4	69335.9	69335.9	ch1-2018-11-20_10-17-43_0000004.wav	2923.9	SH
